Station Number	Province	City	Address	Location Type	2011 Average Fine Particulate Matter (µg/m3)	2011 Peak Fine Particulate Matter (µg/m3)	2011 Average Ozone (ppb)	2011 Peak Ozone (ppb)	2011 Sulphur Dioxide (ppb)	2011 Nitrogen Dioxide (ppb)	2011 Volatile Organic Compounds (ppbC)	Latitude	Longitude
90120.00000000	Alberta	Edmonton	6240 113 Street	Urban Residential	9.02	25.92	36.38	64.50	-99.00	11.82	-99.00	53.50000000	-113.53000000
90121.00000000	Alberta	Edmonton	17 Street & 105 Avenue	Urban Industrial	10.00	27.08	33.89	58.88	1.12	14.05	264.04	53.55000000	-113.37000000
90122.00000000	Alberta	Edmonton	13335 127 St	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.59000000	-113.54000000
90130.00000000	Alberta	Edmonton	10255 - 104th Street	Urban Commercial	10.12	28.33	29.64	55.63	-99.00	16.37	75.27	53.54000000	-113.50000000
90131.00000000	Alberta	Sherwood Park	Broadmoor Blvd	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.53000000	-113.32000000
90132.00000000	Alberta	Edmonton	4946-89 Street	Urban Commercial	5.31	17.42	-99.00	-99.00	-99.00	-99.00	-99.00	53.49000000	-113.46000000
90218.00000000	Alberta	Calgary	49 Avenue & 15th Street S.E.	Urban Industrial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	51.01000000	-114.03000000
90222.00000000	Alberta	Calgary	39 St. & 29 Ave. N.W.	Urban Residential	8.41	24.40	36.04	56.17	-99.00	11.38	-99.00	51.08000000	-114.15000000
90227.00000000	Alberta	Calgary	611-4th Street S.W.	Urban Commercial	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	51.05000000	-114.08000000
90228.00000000	Alberta	Calgary	620 7th Ave SW	Urban Commercial	13.33	23.46	31.03	54.25	-99.00	16.00	56.50	51.05000000	-114.08000000
90302.00000000	Alberta	Red Deer	73 Street & Riverside Drive	Urban Commercial	13.71	34.13	32.14	54.13	0.31	11.58	-99.00	52.30000000	-113.79000000
90402.00000000	Alberta	Medicine Hat	12th St NW & Division Ave	Urban Residential	7.88	18.38	39.18	59.38	-99.00	7.27	-99.00	50.05000000	-110.68000000
90502.00000000	Alberta	Lethbridge	                                                            	Urban Residential	6.61	18.50	40.38	60.50	0.13	5.74	-99.00	49.72000000	-112.80000000
90601.00000000	Alberta	Fort Saskatchewan	9209a-96 Ave	Urban Residential	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.70000000	-113.22000000
90602.00000000	Alberta	Fort Saskatchewan	Rge Rd 220 & River Road	Rural Agricultural	-99.00	-99.00	-99.00	-99.00	1.03	6.54	-99.00	53.75000000	-113.13000000
90603.00000000	Alberta	Fort Saskatchewan	100 Ave East of 109st.	Urban Industrial	-99.00	-99.00	-99.00	-99.00	0.83	8.00	-99.00	53.72000000	-113.20000000
90604.00000000	Alberta	Fort Saskatchewan	Rge Rd 214 Twp Rd 560	Rural Undeveloped	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	53.79000000	-113.08000000
