NPRI Number	Facility Name	Company Name	Province	City	Address	Postal Code	Rural Address	NAICS Name	NAICS Data Link	2011 NOx Emissions (t)	2011 SOx Emissions (t)	2011 VOC Emissions (t)	2011 PM2.5 Emissions (t)	2011 PM10 Emissions (t)	2011 TPM Emissions (t)	2011 NH3 Emissions (t)	2011 CO Emissions (t)	NPRI Data Link 	NAICS2	NAICS3	NAICS4	NAICS6	Latitude	Longitude
0000004823	Sexsmith Sour Gas Plant	Encana Corporation	Alberta	N/A			0	Conventional Oil & Gas Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113	38.11	1711.60	10.86	4.83	4.83	-99.00	-99.00	41.98	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;amp;amp;amp;amp;amp;amp;lang=En&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_npri_id=0000004823&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_report_year=2011	21	211	2111	211113	55.48190000	-119.05920000
0000005211	Coleman Gas Plant	Devon Canada Corporation	Alberta	Coleman		T0K0M0	0	Conventional Oil & Gas Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113	58.44	2396.79	4.82	3.07	3.07	-99.00	-99.00	36.33	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;amp;amp;amp;amp;amp;amp;lang=En&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_npri_id=0000005211&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_report_year=2011	21	211	2111	211113	49.62810000	-114.57190000
0000005222	Chinchaga Gas Plant	Keyera Corp	Alberta	Manning			0	Conventional Oil & Gas Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113	164.74	12.01	138.03	0.40	0.40	-99.00	-99.00	95.57	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;amp;amp;amp;amp;amp;amp;lang=En&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_npri_id=0000005222&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_report_year=2011	21	211	2111	211113	57.54630000	-119.11260000
0000005224	House Mountain Complex	Apache Canada Ltd.	Alberta	Swan Hills		T0G2C0	0	Conventional Oil & Gas Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113	146.04	55.97	-99.00	6.06	6.06	-99.00	-99.00	260.66	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;amp;amp;amp;amp;amp;amp;lang=En&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_npri_id=0000005224&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_report_year=2011	21	211	2111	211113	55.04000000	-115.47580000
0000005284	Edson Gas Plant	Talisman Energy	Alberta	Edson			0	Conventional Oil & Gas Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113	658.49	1294.60	66.53	11.79	11.79	-99.00	-99.00	164.78	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;amp;amp;amp;amp;amp;amp;lang=En&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_npri_id=0000005284&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_report_year=2011	21	211	2111	211113	53.55750000	-116.54720000
0000005285	Zama Gas Plant: 1, 2, 3	Apache Canada Ltd.	Alberta	Zama City		T0H4E0	0	Conventional Oil & Gas Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113	131.22	37.60	31.46	0.99	0.99	-99.00	-99.00	86.99	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;amp;amp;amp;amp;amp;amp;lang=En&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_npri_id=0000005285&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_report_year=2011	21	211	2111	211113	59.06310000	-118.87570000
0000005287	Redwater Fractionation and Storage Facility	Provident Energy Ltd.	Alberta	Redwater			0	Conventional Oil & Gas Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113	-99.00	279.29	97.42	15.51	15.51	-99.00	-99.00	46.16	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;amp;amp;amp;amp;amp;amp;lang=En&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_npri_id=0000005287&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_report_year=2011	21	211	2111	211113	53.81720000	-113.13360000
0000005239	Hythe Brainard Sour Gas Plant	Encana Corporation	Alberta	N/A			0	Conventional Oil & Gas Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113	401.79	354.20	74.92	9.95	9.95	-99.00	-99.00	469.53	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;amp;amp;amp;amp;amp;amp;lang=En&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_npri_id=0000005239&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_report_year=2011	21	211	2111	211113	55.48910000	-119.75080000
0000005337	Nevis Gas Plant	Keyera Corp	Alberta	Stettler		T0C2L0	0	Conventional Oil & Gas Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113	772.45	375.12	175.73	8.83	8.83	-99.00	-99.00	202.12	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;amp;amp;amp;amp;amp;amp;lang=En&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_npri_id=0000005337&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_report_year=2011	21	211	2111	211113	52.32710000	-112.71830000
0000005370	Sturgeon Lake South Gas Plant 02-02	Barrick Energy Inc.	Alberta	Md Greenview			0	Conventional Oil & Gas Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211113	73.39	529.66	54.69	-99.00	1.98	-99.00	-99.00	50.83	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;amp;amp;amp;amp;amp;amp;lang=En&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_npri_id=0000005370&amp;amp;amp;amp;amp;amp;amp;amp;amp;opt_report_year=2011	21	211	2111	211113	55.07420000	-117.27420000
