NPRI Number	Facility Name	Company Name	Province	City	Address	Postal Code	Rural Address	NAICS Name	NAICS Data Link	2011 Hg Emissions (kg)	2011 Cr(VI) Emissions (kg)	NPRI Data Link 	NAICS2	NAICS3	NAICS4	Latitude	Longitude
0000000223	Peace River Pulp Division	Daishowa-Marubeni International Ltd-Peace River Pulp	Alberta	Md of Northern Lights	11/13/24-085-21-W5	T8S1V7	0	Chemical Pulp Mills	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=322112	9.61	6.35	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000000223&amp;amp;amp;opt_report_year=2011	32	322	3221	56.37720000	-117.17560000
0000000267	Genesee Thermal Generating Station	Capital Power Generation Services Inc.	Alberta	Warburg	50444 Highway 770	T0C2T0	0	Fossil-Fuel Electric Power Generation	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112	56.15	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000000267&amp;amp;amp;opt_report_year=2011	22	221	2211	53.34400000	-114.30500000
0000000442	Cold Lake Heavy Oil Plants	Imperial Oil Resources	Alberta	Grande Centre		T0A1T0	0	Non-Conventional Oil Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211114	7.32	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000000442&amp;amp;amp;opt_report_year=2011	21	211	2111	54.59640000	-110.39500000
0000001033	Battle River Generating Station	Alberta Power (2000) Ltd.	Alberta	Forestburg	Box 498	T0B1N0	0	Fossil-Fuel Electric Power Generation	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112	48.06	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000001033&amp;amp;amp;opt_report_year=2011	22	221	2211	52.56470000	-112.14140000
0000001036	Sheerness Generating Station	Alberta Power (2000) Ltd.	Alberta	Hanna	Box 1540	T0J1P0	0	Fossil-Fuel Electric Power Generation	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112	33.14	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000001036&amp;amp;amp;opt_report_year=2011	22	221	2211	51.53170000	-111.78610000
0000001039	H.R.Milner Generating Station	Milner Power Limited Partnership By Its Gp Milner Power Inc.	Alberta	Grande Cache	40 Highway North	T0E0Y0	0	Fossil-Fuel Electric Power Generation	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=221112	3.30	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000001039&amp;amp;amp;opt_report_year=2011	22	221	2211	54.00710000	-119.10400000
0000001042	Swan Hills Treatment Center	Sena Waste Services	Alberta	Swan Hills	10000 Chrystina Lake Road	T0G2C0	0	Waste Treatment & Disposal	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=562210	51.31	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000001042&amp;amp;amp;opt_report_year=2011	56	562	5622	54.77500000	-115.21860000
0000001106	Altasteel	Altasteel Ltd.	Alberta	Edmonton	9401 34th Street	T6B2X6	0	Iron & Steel Mills & Ferro-Alloy Mfg.	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=331110	11.35	17.30	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000001106&amp;amp;amp;opt_report_year=2011	33	331	3311	53.52910000	-113.38750000
0000002230	Suncor Energy Inc. Oil Sands	Suncor Energy Oil Sands Limited Partnership	Alberta	Fort McMurray	Hwy 63n Highway	T9H3E3	0	Non-Conventional Oil Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211114	36.57	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002230&amp;amp;amp;opt_report_year=2011	21	211	2111	57.00330000	-111.46610000
0000002274	Mildred Lake Plant Site	Syncrude Canada Ltd.	Alberta	Fort McMurray	Mildred Lake	T9H3L1	0	Non-Conventional Oil Extraction	http://stds.statcan.gc.ca/naics-scian/2007/cs-rc-eng.asp?criteria=211114	14.89	-99.00	http://www.ec.gc.ca/inrp-npri/donnees-data/index.cfm?do=facility_substance_summary&amp;amp;amp;lang=En&amp;amp;amp;opt_npri_id=0000002274&amp;amp;amp;opt_report_year=2011	21	211	2111	57.04050000	-111.61920000
